Jan 24, '22 21:20:24 | ETL_LIS | INFO: Loading D_CUSTOMER Table
Jan 24, '22 21:20:27 | ETL_LIS | INFO: query: [PUT /* Python:snowflake.connector.pandas_tools.write_pandas() */ 'file:///tmp/tm...]
Jan 24, '22 21:20:28 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:20:30 | ETL_LIS | INFO: query: [COPY INTO "D_CUSTOMER" /* Python:snowflake.connector.pandas_tools.write_pandas()...]
Jan 24, '22 21:20:31 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:20:31 | ETL_LIS | INFO: Loaded all Customer Data to Target Table 'D_CUSTOMER'
Jan 24, '22 21:20:31 | ETL_LIS | INFO: closed
Jan 24, '22 21:20:31 | ETL_LIS | INFO: No async queries seem to be running, deleting session
Jan 24, '22 21:20:31 | ETL_LIS | INFO: Closed Database Connection Cursor
Jan 24, '22 21:20:31 | ETL_LIS | INFO: Closed Database Connection
Jan 24, '22 21:24:55 | ETL_LIS | INFO: Loading D_CUSTOMER Table
Jan 24, '22 21:24:55 | ETL_LIS | INFO: Attempting Snowflake Database Connection with user raj**** and account rb239**
Jan 24, '22 21:24:55 | ETL_LIS | INFO: Snowflake Connector for Python Version: 2.7.2, Python Version: 3.8.10, Platform: Linux-5.11.0-46-generic-x86_64-with-glibc2.29
Jan 24, '22 21:24:55 | ETL_LIS | INFO: This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
Jan 24, '22 21:24:55 | ETL_LIS | INFO: Setting use_openssl_only mode to False
Jan 24, '22 21:24:57 | ETL_LIS | INFO: Database Connection Successful
Jan 24, '22 21:24:57 | ETL_LIS | INFO: Created Database Connection Cursor
Jan 24, '22 21:24:57 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TMP_BBSM]
Jan 24, '22 21:24:57 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:24:57 | ETL_LIS | INFO: Cursor Execution - Used DWH_TMP_BBSM Schema of NAMIT_BHATBHATENI Database to fetch data
Jan 24, '22 21:24:57 | ETL_LIS | INFO: query: [SELECT * FROM D_CUSTOMER_TMP]
Jan 24, '22 21:24:57 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:24:57 | ETL_LIS | INFO: Cursor Execution - Fetching all data from D_CUSTOMER_TMP Table
Jan 24, '22 21:24:57 | ETL_LIS | INFO: Converted Fetched Data to Pandas Dataframe
Jan 24, '22 21:24:57 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TGT_BBSM]
Jan 24, '22 21:24:58 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:24:58 | ETL_LIS | INFO: Cursor Execution - Used DWH_TGT_BBSM Schema of NAMIT_BHATBHATENI Database to load data
Jan 24, '22 21:24:58 | ETL_LIS | INFO: query: [create temporary stage /* Python:snowflake.connector.pandas_tools.write_pandas()...]
Jan 24, '22 21:24:58 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:24:58 | ETL_LIS | INFO: query: [PUT /* Python:snowflake.connector.pandas_tools.write_pandas() */ 'file:///tmp/tm...]
Jan 24, '22 21:24:59 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:25:00 | ETL_LIS | INFO: query: [COPY INTO "D_CUSTOMER" /* Python:snowflake.connector.pandas_tools.write_pandas()...]
Jan 24, '22 21:25:01 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:25:01 | ETL_LIS | INFO: Loaded all Customer Data to Target Table 'D_CUSTOMER'
Jan 24, '22 21:25:01 | ETL_LIS | INFO: closed
Jan 24, '22 21:25:01 | ETL_LIS | INFO: No async queries seem to be running, deleting session
Jan 24, '22 21:25:01 | ETL_LIS | INFO: Closed Database Connection Cursor
Jan 24, '22 21:25:01 | ETL_LIS | INFO: Closed Database Connection
Jan 24, '22 21:32:57 | ETL_LIS | INFO: Loading D_CUSTOMER Table
Jan 24, '22 21:32:57 | ETL_LIS | INFO: Attempting Snowflake Database Connection with user raj**** and account rb239**
Jan 24, '22 21:32:57 | ETL_LIS | INFO: Snowflake Connector for Python Version: 2.7.2, Python Version: 3.8.10, Platform: Linux-5.11.0-46-generic-x86_64-with-glibc2.29
Jan 24, '22 21:32:57 | ETL_LIS | INFO: This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
Jan 24, '22 21:32:57 | ETL_LIS | INFO: Setting use_openssl_only mode to False
Jan 24, '22 21:32:58 | ETL_LIS | INFO: Database Connection Successful
Jan 24, '22 21:32:58 | ETL_LIS | INFO: Created Database Connection Cursor
Jan 24, '22 21:32:58 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TMP_BBSM]
Jan 24, '22 21:32:59 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:32:59 | ETL_LIS | INFO: Cursor Execution - Used DWH_TMP_BBSM Schema of NAMIT_BHATBHATENI Database to fetch data
Jan 24, '22 21:32:59 | ETL_LIS | INFO: query: [SELECT * FROM D_CUSTOMER_TMP]
Jan 24, '22 21:32:59 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:32:59 | ETL_LIS | INFO: Cursor Execution - Fetching all data from D_CUSTOMER_TMP Table
Jan 24, '22 21:32:59 | ETL_LIS | INFO: Converted Fetched Data to Pandas Dataframe
Jan 24, '22 21:32:59 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TGT_BBSM]
Jan 24, '22 21:32:59 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:32:59 | ETL_LIS | INFO: Cursor Execution - Used DWH_TGT_BBSM Schema of NAMIT_BHATBHATENI Database to load data
Jan 24, '22 21:32:59 | ETL_LIS | INFO: query: [create temporary stage /* Python:snowflake.connector.pandas_tools.write_pandas()...]
Jan 24, '22 21:33:00 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:33:00 | ETL_LIS | INFO: query: [PUT /* Python:snowflake.connector.pandas_tools.write_pandas() */ 'file:///tmp/tm...]
Jan 24, '22 21:33:01 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:33:02 | ETL_LIS | INFO: query: [COPY INTO "D_CUSTOMER" /* Python:snowflake.connector.pandas_tools.write_pandas()...]
Jan 24, '22 21:33:04 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:33:04 | ETL_LIS | INFO: Loaded all Customer Data to Target Table 'D_CUSTOMER'
Jan 24, '22 21:33:04 | ETL_LIS | INFO: closed
Jan 24, '22 21:33:04 | ETL_LIS | INFO: No async queries seem to be running, deleting session
Jan 24, '22 21:33:04 | ETL_LIS | INFO: Closed Database Connection Cursor
Jan 24, '22 21:33:04 | ETL_LIS | INFO: Closed Database Connection
Jan 24, '22 21:33:49 | ETL_LIS | INFO: Loading D_CUSTOMER Table
Jan 24, '22 21:33:49 | ETL_LIS | INFO: Attempting Snowflake Database Connection with user raj**** and account rb239**
Jan 24, '22 21:33:49 | ETL_LIS | INFO: Snowflake Connector for Python Version: 2.7.2, Python Version: 3.8.10, Platform: Linux-5.11.0-46-generic-x86_64-with-glibc2.29
Jan 24, '22 21:33:49 | ETL_LIS | INFO: This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
Jan 24, '22 21:33:49 | ETL_LIS | INFO: Setting use_openssl_only mode to False
Jan 24, '22 21:33:52 | ETL_LIS | INFO: Database Connection Successful
Jan 24, '22 21:33:52 | ETL_LIS | INFO: Created Database Connection Cursor
Jan 24, '22 21:33:52 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TMP_BBSM]
Jan 24, '22 21:33:52 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:33:52 | ETL_LIS | INFO: Cursor Execution - Used DWH_TMP_BBSM Schema of NAMIT_BHATBHATENI Database to fetch data
Jan 24, '22 21:33:52 | ETL_LIS | INFO: query: [SELECT * FROM D_CUSTOMER_TMP]
Jan 24, '22 21:33:52 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:33:52 | ETL_LIS | INFO: Cursor Execution - Fetching all data from D_CUSTOMER_TMP Table
Jan 24, '22 21:33:52 | ETL_LIS | INFO: Converted Fetched Data to Pandas Dataframe
Jan 24, '22 21:33:52 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TGT_BBSM]
Jan 24, '22 21:33:53 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:33:53 | ETL_LIS | INFO: Cursor Execution - Used DWH_TGT_BBSM Schema of NAMIT_BHATBHATENI Database to load data
Jan 24, '22 21:33:53 | ETL_LIS | INFO: query: [create temporary stage /* Python:snowflake.connector.pandas_tools.write_pandas()...]
Jan 24, '22 21:33:54 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:33:54 | ETL_LIS | INFO: query: [PUT /* Python:snowflake.connector.pandas_tools.write_pandas() */ 'file:///tmp/tm...]
Jan 24, '22 21:33:54 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:33:57 | ETL_LIS | INFO: query: [COPY INTO "D_CUSTOMER" /* Python:snowflake.connector.pandas_tools.write_pandas()...]
Jan 24, '22 21:33:58 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:33:58 | ETL_LIS | INFO: Loaded all Customer Data to Target Table 'D_CUSTOMER'
Jan 24, '22 21:33:58 | ETL_LIS | INFO: closed
Jan 24, '22 21:33:58 | ETL_LIS | INFO: No async queries seem to be running, deleting session
Jan 24, '22 21:33:59 | ETL_LIS | INFO: Closed Database Connection Cursor
Jan 24, '22 21:33:59 | ETL_LIS | INFO: Closed Database Connection
Jan 24, '22 21:38:08 | ETL_LIS | INFO: Loading D_CUSTOMER Table
Jan 24, '22 21:38:08 | ETL_LIS | INFO: Attempting Snowflake Database Connection with user raj**** and account rb239**
Jan 24, '22 21:38:08 | ETL_LIS | INFO: Snowflake Connector for Python Version: 2.7.2, Python Version: 3.8.10, Platform: Linux-5.11.0-46-generic-x86_64-with-glibc2.29
Jan 24, '22 21:38:08 | ETL_LIS | INFO: This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
Jan 24, '22 21:38:08 | ETL_LIS | INFO: Setting use_openssl_only mode to False
Jan 24, '22 21:38:10 | ETL_LIS | INFO: Database Connection Successful
Jan 24, '22 21:38:10 | ETL_LIS | INFO: Created Database Connection Cursor
Jan 24, '22 21:38:10 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TMP_BBSM]
Jan 24, '22 21:38:11 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:38:11 | ETL_LIS | INFO: Cursor Execution - Used DWH_TMP_BBSM Schema of NAMIT_BHATBHATENI Database to fetch data
Jan 24, '22 21:38:11 | ETL_LIS | INFO: query: [SELECT * FROM D_CUSTOMER_TMP]
Jan 24, '22 21:38:11 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:38:11 | ETL_LIS | INFO: Cursor Execution - Fetching all data from D_CUSTOMER_TMP Table
Jan 24, '22 21:38:11 | ETL_LIS | INFO: Converted Fetched Data to Pandas Dataframe
Jan 24, '22 21:38:11 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TGT_BBSM]
Jan 24, '22 21:38:11 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:38:11 | ETL_LIS | INFO: Cursor Execution - Used DWH_TGT_BBSM Schema of NAMIT_BHATBHATENI Database to load data
Jan 24, '22 21:38:11 | ETL_LIS | INFO: query: [create temporary stage /* Python:snowflake.connector.pandas_tools.write_pandas()...]
Jan 24, '22 21:38:12 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:38:12 | ETL_LIS | INFO: query: [PUT /* Python:snowflake.connector.pandas_tools.write_pandas() */ 'file:///tmp/tm...]
Jan 24, '22 21:38:12 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:38:14 | ETL_LIS | INFO: query: [COPY INTO "D_CUSTOMER" /* Python:snowflake.connector.pandas_tools.write_pandas()...]
Jan 24, '22 21:38:15 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:38:15 | ETL_LIS | INFO: Loaded all Customer Data to Target Table 'D_CUSTOMER'
Jan 24, '22 21:38:15 | ETL_LIS | INFO: closed
Jan 24, '22 21:38:15 | ETL_LIS | INFO: No async queries seem to be running, deleting session
Jan 24, '22 21:38:16 | ETL_LIS | INFO: Closed Database Connection Cursor
Jan 24, '22 21:38:16 | ETL_LIS | INFO: Closed Database Connection
Jan 24, '22 21:38:28 | ETL_LIS | INFO: Loading D_CUSTOMER Table
Jan 24, '22 21:38:28 | ETL_LIS | INFO: Attempting Snowflake Database Connection with user raj**** and account rb239**
Jan 24, '22 21:38:28 | ETL_LIS | INFO: Snowflake Connector for Python Version: 2.7.2, Python Version: 3.8.10, Platform: Linux-5.11.0-46-generic-x86_64-with-glibc2.29
Jan 24, '22 21:38:28 | ETL_LIS | INFO: This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
Jan 24, '22 21:38:28 | ETL_LIS | INFO: Setting use_openssl_only mode to False
Jan 24, '22 21:38:30 | ETL_LIS | INFO: Database Connection Successful
Jan 24, '22 21:38:30 | ETL_LIS | INFO: Created Database Connection Cursor
Jan 24, '22 21:38:30 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TMP_BBSM]
Jan 24, '22 21:38:30 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:38:30 | ETL_LIS | INFO: Cursor Execution - Used DWH_TMP_BBSM Schema of NAMIT_BHATBHATENI Database to fetch data
Jan 24, '22 21:38:30 | ETL_LIS | INFO: query: [SELECT * FROM D_CUSTOMER_TMP]
Jan 24, '22 21:38:30 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:38:30 | ETL_LIS | INFO: Cursor Execution - Fetching all data from D_CUSTOMER_TMP Table
Jan 24, '22 21:38:30 | ETL_LIS | INFO: Converted Fetched Data to Pandas Dataframe
Jan 24, '22 21:38:30 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TGT_BBSM]
Jan 24, '22 21:38:30 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:38:30 | ETL_LIS | INFO: Cursor Execution - Used DWH_TGT_BBSM Schema of NAMIT_BHATBHATENI Database to load data
Jan 24, '22 21:38:31 | ETL_LIS | INFO: closed
Jan 24, '22 21:38:31 | ETL_LIS | INFO: No async queries seem to be running, deleting session
Jan 24, '22 21:38:31 | ETL_LIS | INFO: Closed Database Connection Cursor
Jan 24, '22 21:38:31 | ETL_LIS | INFO: Closed Database Connection
Jan 24, '22 21:39:29 | ETL_LIS | INFO: Loading D_CUSTOMER Table
Jan 24, '22 21:39:29 | ETL_LIS | INFO: Attempting Snowflake Database Connection with user raj**** and account rb239**
Jan 24, '22 21:39:29 | ETL_LIS | INFO: Snowflake Connector for Python Version: 2.7.2, Python Version: 3.8.10, Platform: Linux-5.11.0-46-generic-x86_64-with-glibc2.29
Jan 24, '22 21:39:29 | ETL_LIS | INFO: This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
Jan 24, '22 21:39:29 | ETL_LIS | INFO: Setting use_openssl_only mode to False
Jan 24, '22 21:39:31 | ETL_LIS | INFO: Database Connection Successful
Jan 24, '22 21:39:31 | ETL_LIS | INFO: Created Database Connection Cursor
Jan 24, '22 21:39:31 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TMP_BBSM]
Jan 24, '22 21:39:31 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:39:31 | ETL_LIS | INFO: Cursor Execution - Used DWH_TMP_BBSM Schema of NAMIT_BHATBHATENI Database to fetch data
Jan 24, '22 21:39:31 | ETL_LIS | INFO: query: [SELECT * FROM D_CUSTOMER_TMP]
Jan 24, '22 21:39:32 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:39:32 | ETL_LIS | INFO: Cursor Execution - Fetching all data from D_CUSTOMER_TMP Table
Jan 24, '22 21:39:32 | ETL_LIS | INFO: Converted Fetched Data to Pandas Dataframe
Jan 24, '22 21:39:32 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TGT_BBSM]
Jan 24, '22 21:39:32 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:39:32 | ETL_LIS | INFO: Cursor Execution - Used DWH_TGT_BBSM Schema of NAMIT_BHATBHATENI Database to load data
Jan 24, '22 21:39:32 | ETL_LIS | INFO: closed
Jan 24, '22 21:39:32 | ETL_LIS | INFO: No async queries seem to be running, deleting session
Jan 24, '22 21:39:33 | ETL_LIS | INFO: Closed Database Connection Cursor
Jan 24, '22 21:39:33 | ETL_LIS | INFO: Closed Database Connection
Jan 24, '22 21:40:11 | ETL_LIS | INFO: Loading D_CUSTOMER Table
Jan 24, '22 21:40:11 | ETL_LIS | INFO: Attempting Snowflake Database Connection with user raj**** and account rb239**
Jan 24, '22 21:40:11 | ETL_LIS | INFO: Snowflake Connector for Python Version: 2.7.2, Python Version: 3.8.10, Platform: Linux-5.11.0-46-generic-x86_64-with-glibc2.29
Jan 24, '22 21:40:11 | ETL_LIS | INFO: This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
Jan 24, '22 21:40:11 | ETL_LIS | INFO: Setting use_openssl_only mode to False
Jan 24, '22 21:40:13 | ETL_LIS | INFO: Database Connection Successful
Jan 24, '22 21:40:13 | ETL_LIS | INFO: Created Database Connection Cursor
Jan 24, '22 21:40:13 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TMP_BBSM]
Jan 24, '22 21:40:17 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:40:17 | ETL_LIS | INFO: Cursor Execution - Used DWH_TMP_BBSM Schema of NAMIT_BHATBHATENI Database to fetch data
Jan 24, '22 21:40:17 | ETL_LIS | INFO: query: [SELECT * FROM D_CUSTOMER_TMP]
Jan 24, '22 21:40:18 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:40:18 | ETL_LIS | INFO: Cursor Execution - Fetching all data from D_CUSTOMER_TMP Table
Jan 24, '22 21:40:18 | ETL_LIS | INFO: Converted Fetched Data to Pandas Dataframe
Jan 24, '22 21:40:18 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TGT_BBSM]
Jan 24, '22 21:40:18 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:40:18 | ETL_LIS | INFO: Cursor Execution - Used DWH_TGT_BBSM Schema of NAMIT_BHATBHATENI Database to load data
Jan 24, '22 21:40:18 | ETL_LIS | INFO: closed
Jan 24, '22 21:40:18 | ETL_LIS | INFO: No async queries seem to be running, deleting session
Jan 24, '22 21:40:18 | ETL_LIS | INFO: Closed Database Connection Cursor
Jan 24, '22 21:40:18 | ETL_LIS | INFO: Closed Database Connection
Jan 24, '22 21:45:54 | ETL_LIS | INFO: Loading D_CUSTOMER Table
Jan 24, '22 21:45:54 | ETL_LIS | INFO: Attempting Snowflake Database Connection with user raj**** and account rb239**
Jan 24, '22 21:45:54 | ETL_LIS | INFO: Snowflake Connector for Python Version: 2.7.2, Python Version: 3.8.10, Platform: Linux-5.11.0-46-generic-x86_64-with-glibc2.29
Jan 24, '22 21:45:54 | ETL_LIS | INFO: This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
Jan 24, '22 21:45:54 | ETL_LIS | INFO: Setting use_openssl_only mode to False
Jan 24, '22 21:45:56 | ETL_LIS | INFO: Database Connection Successful
Jan 24, '22 21:45:56 | ETL_LIS | INFO: Created Database Connection Cursor
Jan 24, '22 21:45:56 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TMP_BBSM]
Jan 24, '22 21:45:56 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:45:56 | ETL_LIS | INFO: Cursor Execution - Used DWH_TMP_BBSM Schema of NAMIT_BHATBHATENI Database to fetch data
Jan 24, '22 21:45:56 | ETL_LIS | INFO: query: [SELECT * FROM D_CUSTOMER_TMP]
Jan 24, '22 21:45:57 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:45:57 | ETL_LIS | INFO: Cursor Execution - Fetching all data from D_CUSTOMER_TMP Table
Jan 24, '22 21:45:57 | ETL_LIS | INFO: Converted Fetched Data to Pandas Dataframe
Jan 24, '22 21:45:57 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TGT_BBSM]
Jan 24, '22 21:45:57 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:45:57 | ETL_LIS | INFO: Cursor Execution - Used DWH_TGT_BBSM Schema of NAMIT_BHATBHATENI Database to load data
Jan 24, '22 21:45:57 | ETL_LIS | INFO: closed
Jan 24, '22 21:45:57 | ETL_LIS | INFO: No async queries seem to be running, deleting session
Jan 24, '22 21:45:57 | ETL_LIS | INFO: Closed Database Connection Cursor
Jan 24, '22 21:45:57 | ETL_LIS | INFO: Closed Database Connection
Jan 24, '22 21:54:56 | ETL_LIS | INFO: Loading D_CUSTOMER Table
Jan 24, '22 21:54:56 | ETL_LIS | INFO: Attempting Snowflake Database Connection with user raj**** and account rb239**
Jan 24, '22 21:54:56 | ETL_LIS | INFO: Snowflake Connector for Python Version: 2.7.2, Python Version: 3.8.10, Platform: Linux-5.11.0-46-generic-x86_64-with-glibc2.29
Jan 24, '22 21:54:56 | ETL_LIS | INFO: This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
Jan 24, '22 21:54:56 | ETL_LIS | INFO: Setting use_openssl_only mode to False
Jan 24, '22 21:54:59 | ETL_LIS | INFO: Database Connection Successful
Jan 24, '22 21:54:59 | ETL_LIS | INFO: Created Database Connection Cursor
Jan 24, '22 21:54:59 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TMP_BBSM]
Jan 24, '22 21:54:59 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:54:59 | ETL_LIS | INFO: Cursor Execution - Used DWH_TMP_BBSM Schema of NAMIT_BHATBHATENI Database to fetch data
Jan 24, '22 21:54:59 | ETL_LIS | INFO: query: [SELECT * FROM D_CUSTOMER_TMP]
Jan 24, '22 21:55:00 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:55:00 | ETL_LIS | INFO: Cursor Execution - Fetching all data from D_CUSTOMER_TMP Table
Jan 24, '22 21:55:00 | ETL_LIS | INFO: Converted Fetched Data to Pandas Dataframe
Jan 24, '22 21:55:00 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TGT_BBSM]
Jan 24, '22 21:55:00 | ETL_LIS | INFO: query execution done
Jan 24, '22 21:55:00 | ETL_LIS | INFO: Cursor Execution - Used DWH_TGT_BBSM Schema of NAMIT_BHATBHATENI Database to load data
Jan 24, '22 21:55:01 | ETL_LIS | INFO: closed
Jan 24, '22 21:55:01 | ETL_LIS | INFO: No async queries seem to be running, deleting session
Jan 24, '22 21:55:01 | ETL_LIS | INFO: Closed Database Connection Cursor
Jan 24, '22 21:55:01 | ETL_LIS | INFO: Closed Database Connection
Jan 24, '22 22:29:52 | ETL_LIS | INFO: Loading D_CUSTOMER Table
Jan 24, '22 22:29:52 | ETL_LIS | INFO: Attempting Snowflake Database Connection with user raj**** and account rb239**
Jan 24, '22 22:29:52 | ETL_LIS | INFO: Snowflake Connector for Python Version: 2.7.2, Python Version: 3.8.10, Platform: Linux-5.11.0-46-generic-x86_64-with-glibc2.29
Jan 24, '22 22:29:52 | ETL_LIS | INFO: This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
Jan 24, '22 22:29:52 | ETL_LIS | INFO: Setting use_openssl_only mode to False
Jan 24, '22 22:29:54 | ETL_LIS | INFO: Database Connection Successful
Jan 24, '22 22:29:54 | ETL_LIS | INFO: Created Database Connection Cursor
Jan 24, '22 22:29:54 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TMP_BBSM]
Jan 24, '22 22:29:54 | ETL_LIS | INFO: query execution done
Jan 24, '22 22:29:54 | ETL_LIS | INFO: Cursor Execution - Used DWH_TMP_BBSM Schema of NAMIT_BHATBHATENI Database to fetch data
Jan 24, '22 22:29:54 | ETL_LIS | INFO: query: [SELECT * FROM D_CUSTOMER_TMP]
Jan 24, '22 22:29:54 | ETL_LIS | INFO: query execution done
Jan 24, '22 22:29:54 | ETL_LIS | INFO: Cursor Execution - Fetching all data from D_CUSTOMER_TMP Table
Jan 24, '22 22:29:54 | ETL_LIS | INFO: Converted Fetched Data to Pandas Dataframe
Jan 24, '22 22:29:54 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TGT_BBSM]
Jan 24, '22 22:29:55 | ETL_LIS | INFO: query execution done
Jan 24, '22 22:29:55 | ETL_LIS | INFO: Cursor Execution - Used DWH_TGT_BBSM Schema of NAMIT_BHATBHATENI Database to load data
Jan 24, '22 22:29:55 | ETL_LIS | INFO: closed
